"","year","site","n"
"1",2013,4,4
"2",2013,7,4
"3",2013,8,4
"4",2013,19,4
"5",2013,22,3
"6",2013,23,3
"7",2013,28,3
"8",2013,31,4
"9",2013,33,4
"10",2013,35,2
"11",2013,39,3
"12",2013,67,4
"13",2013,72,4
"14",2013,75,2
"15",2013,77,3
"16",2013,79,4
"17",2013,85,2
"18",2013,98,4
"19",2014,12,4
"20",2014,20,4
"21",2014,28,4
"22",2014,33,3
"23",2014,35,4
"24",2014,44,4
"25",2014,47,4
"26",2014,50,4
"27",2014,51,4
"28",2014,59,2
"29",2014,67,3
"30",2014,72,3
"31",2014,75,4
"32",2014,76,4
"33",2014,77,4
"34",2014,78,4
"35",2014,79,3
"36",2014,85,4
"37",2014,88,2
"38",2014,97,2
"39",2014,100,4
"40",2014,119,3
"41",2015,1,3
"42",2015,4,3
"43",2015,8,3
"44",2015,12,3
"45",2015,19,4
"46",2015,20,3
"47",2015,30,3
"48",2015,33,2
"49",2015,35,4
"50",2015,39,3
"51",2015,53,4
"52",2015,59,3
"53",2015,67,4
"54",2015,72,3
"55",2015,75,3
"56",2015,85,3
"57",2015,89,2
"58",2015,95,3
"59",2015,119,2
"60",2015,130,4
"61",2016,1,4
"62",2016,3,3
"63",2016,4,2
"64",2016,8,3
"65",2016,15,4
"66",2016,19,4
"67",2016,23,3
"68",2016,31,3
"69",2016,41,3
"70",2016,42,4
"71",2016,51,4
"72",2016,53,4
"73",2016,58,4
"74",2016,59,3
"75",2016,63,3
"76",2016,75,3
"77",2016,77,4
"78",2016,78,4
"79",2016,89,2
"80",2016,97,4
"81",2016,100,4
"82",2016,110,2
"83",2016,130,4
"84",2017,1,4
"85",2017,5,4
"86",2017,8,2
"87",2017,12,3
"88",2017,18,3
"89",2017,19,4
"90",2017,22,3
"91",2017,23,1
"92",2017,28,5
"93",2017,30,3
"94",2017,31,4
"95",2017,33,4
"96",2017,51,3
"97",2017,58,4
"98",2017,59,4
"99",2017,63,3
"100",2017,75,3
"101",2017,78,4
"102",2017,85,1
"103",2017,89,3
"104",2017,95,3
"105",2017,97,4
"106",2017,98,4
"107",2017,100,4
"108",2017,147,2
