site,hatchdate,nestling_id,col,ind,yday
100,2014-07-10T00:00:00Z,1,b,100b14,191
100,2014-07-10T00:00:00Z,2,g,100g14,191
100,2014-07-11T00:00:00Z,3,r,100r14,192
100,2014-07-12T00:00:00Z,4,bk,100bk14,193
119,2014-07-13T00:00:00Z,1,b,119b14,194
119,2014-07-14T00:00:00Z,2,g,119g14,195
119,2014-07-16T00:00:00Z,3,r,119r14,197
12,2014-07-09T00:00:00Z,1,b,12b14,190
12,2014-07-10T00:00:00Z,2,g,12g14,191
12,2014-07-11T00:00:00Z,3,r,12r14,192
12,2014-07-11T00:00:00Z,4,bk,12bk14,192
20,2014-07-11T00:00:00Z,1,b,20b14,192
20,2014-07-12T00:00:00Z,2,g,20g14,193
20,2014-07-13T00:00:00Z,3,r,20r14,194
20,2014-07-16T00:00:00Z,4,bk,20bk14,197
28,2014-07-11T00:00:00Z,1,b,28b14,192
28,2014-07-11T00:00:00Z,2,g,28g14,192
28,2014-07-12T00:00:00Z,3,r,28r14,193
28,2014-07-15T00:00:00Z,4,bk,28bk14,196
33,2014-07-11T00:00:00Z,1,b,33b14,192
33,2014-07-11T00:00:00Z,2,g,33g14,192
33,2014-07-12T00:00:00Z,3,r,33r14,193
35,2014-07-16T00:00:00Z,1,b,35b14,197
35,2014-07-16T00:00:00Z,2,g,35g14,197
35,2014-07-17T00:00:00Z,3,r,35r14,198
35,2014-07-18T00:00:00Z,4,bk,35bk14,199
44,2014-07-14T00:00:00Z,1,b,44b14,195
44,2014-07-14T00:00:00Z,2,g,44g14,195
44,2014-07-15T00:00:00Z,3,r,44r14,196
44,2014-07-16T00:00:00Z,4,bk,44bk14,197
47,2014-07-12T00:00:00Z,1,b,47b14,193
47,2014-07-12T00:00:00Z,2,g,47g14,193
47,2014-07-13T00:00:00Z,3,r,47r14,194
47,2014-07-14T00:00:00Z,4,bk,47bk14,195
50,2014-07-11T00:00:00Z,1,b,50b14,192
50,2014-07-12T00:00:00Z,2,g,50g14,193
50,2014-07-13T00:00:00Z,3,r,50r14,194
50,2014-07-15T00:00:00Z,4,bk,50bk14,196
51,2014-07-10T00:00:00Z,1,b,51b14,191
51,2014-07-10T00:00:00Z,2,g,51g14,191
51,2014-07-11T00:00:00Z,3,r,51r14,192
51,2014-07-12T00:00:00Z,4,bk,51bk14,193
59,2014-07-16T00:00:00Z,1,b,59b14,197
59,2014-07-17T00:00:00Z,2,g,59g14,198
59,2014-07-17T00:00:00Z,3,r,59r14,198
59,2014-07-18T00:00:00Z,4,bk,59bk14,199
67,2014-07-11T00:00:00Z,1,b,67b14,192
67,2014-07-11T00:00:00Z,2,g,67g14,192
67,2014-07-12T00:00:00Z,3,r,67r14,193
72,2014-07-15T00:00:00Z,1,b,72b14,196
72,2014-07-16T00:00:00Z,2,g,72g14,197
72,2014-07-16T00:00:00Z,3,r,72r14,197
75,2014-07-10T00:00:00Z,1,b,75b14,191
75,2014-07-11T00:00:00Z,2,g,75g14,192
75,2014-07-12T00:00:00Z,3,r,75r14,193
75,2014-07-13T00:00:00Z,4,bk,75bk14,194
76,2014-07-14T00:00:00Z,1,b,76b14,195
76,2014-07-15T00:00:00Z,2,g,76g14,196
76,2014-07-15T00:00:00Z,3,r,76r14,196
76,2014-07-15T00:00:00Z,4,bk,76bk14,196
77,2014-07-08T00:00:00Z,1,b,77b14,189
77,2014-07-08T00:00:00Z,2,g,77g14,189
77,2014-07-09T00:00:00Z,3,r,77r14,190
77,2014-07-11T00:00:00Z,4,bk,77bk14,192
78,2014-07-09T00:00:00Z,1,b,78b14,190
78,2014-07-10T00:00:00Z,2,g,78g14,191
78,2014-07-10T00:00:00Z,3,r,78r14,191
78,2014-07-10T00:00:00Z,4,bk,78bk14,191
79,2014-07-10T00:00:00Z,1,b,79b14,191
79,2014-07-12T00:00:00Z,2,g,79g14,193
79,2014-07-13T00:00:00Z,3,r,79r14,194
85,2014-07-13T00:00:00Z,1,b,85b14,194
85,2014-07-13T00:00:00Z,2,g,85g14,194
85,2014-07-13T00:00:00Z,3,r,85r14,194
85,2014-07-16T00:00:00Z,4,bk,85bk14,197
88,2014-07-09T00:00:00Z,1,b,88b14,190
88,2014-07-12T00:00:00Z,2,g,88g14,193
97,2014-07-13T00:00:00Z,1,b,97b14,194
97,2014-07-14T00:00:00Z,2,g,97g14,195
97,2014-07-15T00:00:00Z,3,r,97r14,196
